-1785439.9285896418	  inf
-1352527.2267013814	2.42468e-01
-1349564.6314643230	2.19041e-03
-1350040.7434044252	-3.52789e-04
-1348757.1476831848	9.50783e-04
-1349569.0605587969	-6.01971e-04
-1350120.9400193854	-4.08930e-04
-1350825.7176517134	-5.22011e-04
-1351352.8859225654	-3.90256e-04
-1351859.1652201184	-3.74646e-04
-1351958.6165817371	-7.35664e-05
-1351473.2035222237	3.59044e-04
-1350936.3434115446	3.97241e-04
-1350308.4681989292	4.64770e-04
-1349455.1977982274	6.31908e-04
-1348452.2747195645	7.43206e-04
-1347067.4079789410	1.02700e-03
-1345556.8726100251	1.12135e-03
-1343917.2364925935	1.21856e-03
-1342127.1169474702	1.33202e-03
-1340421.0637905656	1.27116e-03
-1338865.8176000840	1.16027e-03
-1337269.0672559040	1.19261e-03
-1335655.0841200303	1.20692e-03
-1334104.1009703865	1.16122e-03
-1332571.1985158562	1.14901e-03
-1331039.6404326791	1.14933e-03
-1329566.2588396748	1.10694e-03
-1328150.4148139199	1.06489e-03
-1326755.2717751383	1.05044e-03
-1325441.1261094634	9.90496e-04
-1324271.8901061518	8.82149e-04
-1323249.5350916130	7.72013e-04
-1322309.5812977655	7.10338e-04
-1321465.4976936192	6.38340e-04
-1320679.6715733500	5.94663e-04
-1319984.7269369108	5.26202e-04
-1319367.6297189703	4.67503e-04
-1318834.1621764477	4.04336e-04
-1318321.3332101002	3.88850e-04
-1317897.3840389131	3.21583e-04
-1317474.4747029829	3.20897e-04
-1317099.4538103701	2.84651e-04
-1316782.8478178321	2.40381e-04
-1316529.1087015474	1.92696e-04
-1316302.4981493026	1.72127e-04
-1316079.5633256070	1.69364e-04
-1315855.1000136002	1.70555e-04
-1315649.7650037606	1.56047e-04
-1315480.9964104490	1.28278e-04
-1315332.4544315003	1.12918e-04
-1315200.2252960755	1.00529e-04
-1315072.8698159624	9.68335e-05
